lsoa11cd,index_domain,measure,value
E01012607,Index of Multiple Deprivation,Score,22.254
E01012608,Index of Multiple Deprivation,Score,38.942
E01012633,Index of Multiple Deprivation,Score,21.084
E01012634,Index of Multiple Deprivation,Score,22.601
E01012635,Index of Multiple Deprivation,Score,18.023
E01012636,Index of Multiple Deprivation,Score,10.989
E01012581,Index of Multiple Deprivation,Score,8.552
E01012582,Index of Multiple Deprivation,Score,10.055
E01012583,Index of Multiple Deprivation,Score,6.718
E01012587,Index of Multiple Deprivation,Score,29.721
E01012588,Index of Multiple Deprivation,Score,29.129
E01012574,Index of Multiple Deprivation,Score,48.701
E01012577,Index of Multiple Deprivation,Score,44.73
E01012578,Index of Multiple Deprivation,Score,46.004
E01012605,Index of Multiple Deprivation,Score,36.793
E01012606,Index of Multiple Deprivation,Score,29.969
E01012579,Index of Multiple Deprivation,Score,39.447
E01012580,Index of Multiple Deprivation,Score,36.26
E01012642,Index of Multiple Deprivation,Score,39.388
E01012645,Index of Multiple Deprivation,Score,18.02
E01012585,Index of Multiple Deprivation,Score,27.548
E01012586,Index of Multiple Deprivation,Score,48.955
E01012656,Index of Multiple Deprivation,Score,53.781
E01012657,Index of Multiple Deprivation,Score,49.195
E01012658,Index of Multiple Deprivation,Score,33.254
E01012629,Index of Multiple Deprivation,Score,43.447
E01012631,Index of Multiple Deprivation,Score,63.314
E01012643,Index of Multiple Deprivation,Score,52.628
E01012644,Index of Multiple Deprivation,Score,29.312
E01012655,Index of Multiple Deprivation,Score,81.851
E01012571,Index of Multiple Deprivation,Score,51.996
E01012572,Index of Multiple Deprivation,Score,54.049
E01012573,Index of Multiple Deprivation,Score,36.287
E01012575,Index of Multiple Deprivation,Score,54.481
E01012630,Index of Multiple Deprivation,Score,35.969
E01012576,Index of Multiple Deprivation,Score,44.079
E01012637,Index of Multiple Deprivation,Score,69.569
E01012638,Index of Multiple Deprivation,Score,66.115
E01012639,Index of Multiple Deprivation,Score,67.372
E01012640,Index of Multiple Deprivation,Score,43.821
E01012641,Index of Multiple Deprivation,Score,56.462
E01012595,Index of Multiple Deprivation,Score,53.242
E01012596,Index of Multiple Deprivation,Score,49.402
E01012622,Index of Multiple Deprivation,Score,74.197
E01012623,Index of Multiple Deprivation,Score,33.831
E01012624,Index of Multiple Deprivation,Score,48.396
E01012625,Index of Multiple Deprivation,Score,43.675
E01012584,Index of Multiple Deprivation,Score,10.099
E01012609,Index of Multiple Deprivation,Score,7.45
E01012610,Index of Multiple Deprivation,Score,12.907
E01012611,Index of Multiple Deprivation,Score,9.94
E01012612,Index of Multiple Deprivation,Score,9.431
E01012613,Index of Multiple Deprivation,Score,10.461
E01012600,Index of Multiple Deprivation,Score,44.562
E01012601,Index of Multiple Deprivation,Score,66.889
E01012602,Index of Multiple Deprivation,Score,11.761
E01012603,Index of Multiple Deprivation,Score,55.494
E01012604,Index of Multiple Deprivation,Score,22.151
E01012632,Index of Multiple Deprivation,Score,29.321
E01012594,Index of Multiple Deprivation,Score,47.13
E01012618,Index of Multiple Deprivation,Score,14.931
E01012619,Index of Multiple Deprivation,Score,60.971
E01012620,Index of Multiple Deprivation,Score,18.514
E01012621,Index of Multiple Deprivation,Score,39.087
E01012593,Index of Multiple Deprivation,Score,22.406
E01012597,Index of Multiple Deprivation,Score,10.197
E01012598,Index of Multiple Deprivation,Score,6.057
