IndID,IndName,Years,Unit,Legtitle,About,HighBad,ShadeType,DivergePoint,TopRange,Source,SourceName,Provider,Prefix,Suffix
IMD,Index of Multiple Deprivation,2019,lsoa,Index of Multiple Deprivation<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Index of Multiple Deprivation</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Income_dep,Income Deprivation,2019,lsoa,Income Deprivation<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Income Deprivation</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Emp_dep,Employment Deprivation,2019,lsoa,Employment Deprivation<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Employment Deprivation</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Educ_dep,"Education, Skills and Training Deprivation",2019,lsoa,"Education, Skills and Training Deprivation<br/><h5>National Deciles<br/>2019</h5>","Data and definitions for <strong>Education, Skills and Training Deprivation</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Health_dep,Health Deprivation and Disability,2019,lsoa,Health Deprivation and Disability<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Health Deprivation and Disability</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Crime_dep,Crime (from Indices of Deprivation),2019,lsoa,Crime (from Indices of Deprivation)<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Crime (from Indices of Deprivation)</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Barriers_dep,Barriers to Housing and Services,2019,lsoa,Barriers to Housing and Services<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Barriers to Housing and Services</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Env_dep,Living Environment Deprivation,2019,lsoa,Living Environment Deprivation<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Living Environment Deprivation</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
IDACI,Income Deprivation Affecting Children,2019,lsoa,Income Deprivation Affecting Children<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Income Deprivation Affecting Children</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
IDAOPI,Income Deprivation Affecting Older People,2019,lsoa,Income Deprivation Affecting Older People<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Income Deprivation Affecting Older People</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Mood_dep,Mood & Anxiety Disorders (composite indicator),2019,lsoa,Mood & Anxiety Disorders (composite indicator)<br/><h5>National Deciles<br/>2019</h5>,"Data and definitions for <strong>Mood & Anxiety Disorders (composite indicator)</strong> are provided by MHCLG at <a href=""https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019"" target=""_blank"">Indices of Deprivation</a> ",-1,deciles,,,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,Indices of Deprivation,MHCLG,,
Death_allcause_allage,"Deaths from all causes, all ages",2013 - 17,msoa,"Deaths from all causes, all ages<br/><h5>Standardised Mortality Ratio<br/><em>(England = 100)</em><br/>2013 - 17</h5>","Data and definitions for <strong>Deaths from all causes, all ages</strong> are provided by PHE at <a href=""http://www.localhealth.org.uk"" target=""_blank"">Local Health</a> ",1,diverge,100,,http://www.localhealth.org.uk,Local Health,PHE,,
