IndID,polycode,value,label
Excess_Reception,E02002615,18.5614849187,MSOA: E02002615<br/>Prevalence of excess weight in Reception = 18.6%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002616,15.0224215246,MSOA: E02002616<br/>Prevalence of excess weight in Reception = 15%<br/>Better than England (= 22.2%)
Excess_Reception,E02002617,22.3076923076,MSOA: E02002617<br/>Prevalence of excess weight in Reception = 22.3%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002618,16.2561576354,MSOA: E02002618<br/>Prevalence of excess weight in Reception = 16.3%<br/>Better than England (= 22.2%)
Excess_Reception,E02002619,18.9956331877,MSOA: E02002619<br/>Prevalence of excess weight in Reception = 19%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002620,19.209039548,MSOA: E02002620<br/>Prevalence of excess weight in Reception = 19.2%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002621,17.2259507829,MSOA: E02002621<br/>Prevalence of excess weight in Reception = 17.2%<br/>Better than England (= 22.2%)
Excess_Reception,E02002622,22.385620915,MSOA: E02002622<br/>Prevalence of excess weight in Reception = 22.4%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002623,30.0613496932,MSOA: E02002623<br/>Prevalence of excess weight in Reception = 30.1%<br/>Worse than England (= 22.2%)
Excess_Reception,E02002624,15.9793814432,MSOA: E02002624<br/>Prevalence of excess weight in Reception = 16%<br/>Better than England (= 22.2%)
Excess_Reception,E02002625,32.808988764,MSOA: E02002625<br/>Prevalence of excess weight in Reception = 32.8%<br/>Worse than England (= 22.2%)
Excess_Reception,E02002626,24.7148288973,MSOA: E02002626<br/>Prevalence of excess weight in Reception = 24.7%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002627,21.5189873417,MSOA: E02002627<br/>Prevalence of excess weight in Reception = 21.5%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002628,23.8683127572,MSOA: E02002628<br/>Prevalence of excess weight in Reception = 23.9%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002629,24.081632653,MSOA: E02002629<br/>Prevalence of excess weight in Reception = 24.1%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002630,28.8793103448,MSOA: E02002630<br/>Prevalence of excess weight in Reception = 28.9%<br/>Worse than England (= 22.2%)
Excess_Reception,E02002631,21.3235294117,MSOA: E02002631<br/>Prevalence of excess weight in Reception = 21.3%<br/>Similar to England (= 22.2%)
Excess_Reception,E02002632,22.6519337016,MSOA: E02002632<br/>Prevalence of excess weight in Reception = 22.7%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005176,20.6666666666,MSOA: E02005176<br/>Prevalence of excess weight in Reception = 20.7%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005177,21.7054263565,MSOA: E02005177<br/>Prevalence of excess weight in Reception = 21.7%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005178,22.4598930481,MSOA: E02005178<br/>Prevalence of excess weight in Reception = 22.5%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005179,31.955922865,MSOA: E02005179<br/>Prevalence of excess weight in Reception = 32%<br/>Worse than England (= 22.2%)
Excess_Reception,E02005180,28.8659793814,MSOA: E02005180<br/>Prevalence of excess weight in Reception = 28.9%<br/>Worse than England (= 22.2%)
Excess_Reception,E02005181,26.0869565217,MSOA: E02005181<br/>Prevalence of excess weight in Reception = 26.1%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005182,26.4822134387,MSOA: E02005182<br/>Prevalence of excess weight in Reception = 26.5%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005183,29.9465240641,MSOA: E02005183<br/>Prevalence of excess weight in Reception = 29.9%<br/>Worse than England (= 22.2%)
Excess_Reception,E02005184,21.3740458015,MSOA: E02005184<br/>Prevalence of excess weight in Reception = 21.4%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005185,27.1910112359,MSOA: E02005185<br/>Prevalence of excess weight in Reception = 27.2%<br/>Worse than England (= 22.2%)
Excess_Reception,E02005186,26.3736263736,MSOA: E02005186<br/>Prevalence of excess weight in Reception = 26.4%<br/>Similar to England (= 22.2%)
Excess_Reception,E02006881,23.3695652173,MSOA: E02006881<br/>Prevalence of excess weight in Reception = 23.4%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005212,26.4,MSOA: E02005212<br/>Prevalence of excess weight in Reception = 26.4%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005213,25.9100642398,MSOA: E02005213<br/>Prevalence of excess weight in Reception = 25.9%<br/>Similar to England (= 22.2%)
Excess_Reception,E02005214,30.731707317,MSOA: E02005214<br/>Prevalence of excess weight in Reception = 30.7%<br/>Worse than England (= 22.2%)
