IndID,polycode,value,label
Fuel_Poverty,E01012571,27.8,LSOA: E01012571<br/>132 households in this LSOA are fuel poor<br/>which is 27.8% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012572,18.1,LSOA: E01012572<br/>99 households in this LSOA are fuel poor<br/>which is 18.1% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012573,25,LSOA: E01012573<br/>129 households in this LSOA are fuel poor<br/>which is 25% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012574,18.7,LSOA: E01012574<br/>110 households in this LSOA are fuel poor<br/>which is 18.7% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012575,13.9,LSOA: E01012575<br/>79 households in this LSOA are fuel poor<br/>which is 13.9% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012576,20.7,LSOA: E01012576<br/>124 households in this LSOA are fuel poor<br/>which is 20.7% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012577,30.4,LSOA: E01012577<br/>164 households in this LSOA are fuel poor<br/>which is 30.4% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012578,23.8,LSOA: E01012578<br/>133 households in this LSOA are fuel poor<br/>which is 23.8% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012579,19.6,LSOA: E01012579<br/>111 households in this LSOA are fuel poor<br/>which is 19.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012580,24.4,LSOA: E01012580<br/>137 households in this LSOA are fuel poor<br/>which is 24.4% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012581,9.6,LSOA: E01012581<br/>50 households in this LSOA are fuel poor<br/>which is 9.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012582,7.6,LSOA: E01012582<br/>42 households in this LSOA are fuel poor<br/>which is 7.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012583,11.6,LSOA: E01012583<br/>78 households in this LSOA are fuel poor<br/>which is 11.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012584,7.2,LSOA: E01012584<br/>39 households in this LSOA are fuel poor<br/>which is 7.2% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012585,26.1,LSOA: E01012585<br/>128 households in this LSOA are fuel poor<br/>which is 26.1% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012586,27.8,LSOA: E01012586<br/>143 households in this LSOA are fuel poor<br/>which is 27.8% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012587,19.2,LSOA: E01012587<br/>133 households in this LSOA are fuel poor<br/>which is 19.2% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012588,25.3,LSOA: E01012588<br/>164 households in this LSOA are fuel poor<br/>which is 25.3% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012589,12.2,LSOA: E01012589<br/>83 households in this LSOA are fuel poor<br/>which is 12.2% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012590,12.4,LSOA: E01012590<br/>82 households in this LSOA are fuel poor<br/>which is 12.4% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012591,10.7,LSOA: E01012591<br/>75 households in this LSOA are fuel poor<br/>which is 10.7% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012592,10.4,LSOA: E01012592<br/>90 households in this LSOA are fuel poor<br/>which is 10.4% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012593,10,LSOA: E01012593<br/>77 households in this LSOA are fuel poor<br/>which is 10% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012594,14.6,LSOA: E01012594<br/>96 households in this LSOA are fuel poor<br/>which is 14.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012595,12.5,LSOA: E01012595<br/>112 households in this LSOA are fuel poor<br/>which is 12.5% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012596,14,LSOA: E01012596<br/>117 households in this LSOA are fuel poor<br/>which is 14% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012597,7.1,LSOA: E01012597<br/>50 households in this LSOA are fuel poor<br/>which is 7.1% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012598,5.6,LSOA: E01012598<br/>61 households in this LSOA are fuel poor<br/>which is 5.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012599,10.3,LSOA: E01012599<br/>54 households in this LSOA are fuel poor<br/>which is 10.3% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012600,12.6,LSOA: E01012600<br/>84 households in this LSOA are fuel poor<br/>which is 12.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012601,20.1,LSOA: E01012601<br/>124 households in this LSOA are fuel poor<br/>which is 20.1% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012602,6.8,LSOA: E01012602<br/>46 households in this LSOA are fuel poor<br/>which is 6.8% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012603,11.5,LSOA: E01012603<br/>78 households in this LSOA are fuel poor<br/>which is 11.5% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012604,9.5,LSOA: E01012604<br/>59 households in this LSOA are fuel poor<br/>which is 9.5% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012605,30.8,LSOA: E01012605<br/>187 households in this LSOA are fuel poor<br/>which is 30.8% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012606,24.7,LSOA: E01012606<br/>125 households in this LSOA are fuel poor<br/>which is 24.7% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012607,12.7,LSOA: E01012607<br/>85 households in this LSOA are fuel poor<br/>which is 12.7% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012608,13.8,LSOA: E01012608<br/>105 households in this LSOA are fuel poor<br/>which is 13.8% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012609,9.6,LSOA: E01012609<br/>66 households in this LSOA are fuel poor<br/>which is 9.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012610,9.6,LSOA: E01012610<br/>51 households in this LSOA are fuel poor<br/>which is 9.6% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012611,11.4,LSOA: E01012611<br/>58 households in this LSOA are fuel poor<br/>which is 11.4% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012612,10.8,LSOA: E01012612<br/>71 households in this LSOA are fuel poor<br/>which is 10.8% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012613,6.7,LSOA: E01012613<br/>39 households in this LSOA are fuel poor<br/>which is 6.7% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012614,8.4,LSOA: E01012614<br/>59 households in this LSOA are fuel poor<br/>which is 8.4% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012615,9.4,LSOA: E01012615<br/>74 households in this LSOA are fuel poor<br/>which is 9.4% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012616,8.1,LSOA: E01012616<br/>64 households in this LSOA are fuel poor<br/>which is 8.1% of all households<br/>(England average = 10.3%)
Fuel_Poverty,E01012617,12.6,LSOA: E01012617<br/>79 households in this LSOA are fuel poor<br/>which is 12.6% of all households<br/>(England average = 10.3%)
