"","PUBLICATION","EXTRACT_DATE","PRACTICE_CODE","PRACTICE_NAME","LSOA_CODE","SEX","Number.of.Patients"
"1","GP_PRAC_PAT_LIST","01JUL2019","A82046","WINDERMERE HEALTH CENTRE","E01012614","ALL",2
"2","GP_PRAC_PAT_LIST","01JUL2019","A82065","PENINSULA MEDICAL PRACTICE","E01012634","ALL",1
"3","GP_PRAC_PAT_LIST","01JUL2019","A82065","PENINSULA MEDICAL PRACTICE","E01033281","ALL",1
"4","GP_PRAC_PAT_LIST","01JUL2019","A82650","HAVERTHWAITE SURGERY","E01025326","ALL",2
"5","GP_PRAC_PAT_LIST","01JUL2019","A88014","STANHOPE PARADE HEALTH CENTRE","E01024876","ALL",1
"6","GP_PRAC_PAT_LIST","01JUL2019","B82007","TOWNHEAD SURGERY","E01025197","ALL",2
"7","GP_PRAC_PAT_LIST","01JUL2019","B82007","TOWNHEAD SURGERY","E01025320","ALL",73
"8","GP_PRAC_PAT_LIST","01JUL2019","B82007","TOWNHEAD SURGERY","E01025331","ALL",126
"9","GP_PRAC_PAT_LIST","01JUL2019","B82007","TOWNHEAD SURGERY","E01025349","ALL",3
"10","GP_PRAC_PAT_LIST","01JUL2019","B82020","CROSS HILLS GROUP PRACTICE","E01025178","ALL",12
"11","GP_PRAC_PAT_LIST","01JUL2019","B82020","CROSS HILLS GROUP PRACTICE","E01025193","ALL",1
"12","GP_PRAC_PAT_LIST","01JUL2019","B82020","CROSS HILLS GROUP PRACTICE","E01025199","ALL",2
"13","GP_PRAC_PAT_LIST","01JUL2019","B82020","CROSS HILLS GROUP PRACTICE","E01025200","ALL",1
"14","GP_PRAC_PAT_LIST","01JUL2019","B82020","CROSS HILLS GROUP PRACTICE","E01025202","ALL",6
"15","GP_PRAC_PAT_LIST","01JUL2019","B82020","CROSS HILLS GROUP PRACTICE","E01025203","ALL",2
"16","GP_PRAC_PAT_LIST","01JUL2019","B82020","CROSS HILLS GROUP PRACTICE","E01025223","ALL",1
"17","GP_PRAC_PAT_LIST","01JUL2019","B82028","FISHER MEDICAL CENTRE","E01025193","ALL",1
"18","GP_PRAC_PAT_LIST","01JUL2019","B82028","FISHER MEDICAL CENTRE","E01025199","ALL",1
"19","GP_PRAC_PAT_LIST","01JUL2019","B82028","FISHER MEDICAL CENTRE","E01025331","ALL",3
"20","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025192","ALL",1
"21","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025194","ALL",1
"22","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025197","ALL",1
"23","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025198","ALL",1
"24","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025199","ALL",11
"25","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025200","ALL",5
"26","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025201","ALL",1
"27","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025203","ALL",1
"28","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025320","ALL",1
"29","GP_PRAC_PAT_LIST","01JUL2019","B82053","DYNELEY HOUSE SURGERY","E01025331","ALL",5
"30","GP_PRAC_PAT_LIST","01JUL2019","B82080","MY HEALTH GROUP","E01025207","ALL",1
"31","GP_PRAC_PAT_LIST","01JUL2019","B83040","SALTAIRE MEDICAL PRACTICE","E01025179","ALL",1
"32","GP_PRAC_PAT_LIST","01JUL2019","B83624","I G MEDICAL","E01025195","ALL",1
"33","GP_PRAC_PAT_LIST","01JUL2019","B83624","I G MEDICAL","E01025197","ALL",1
"34","GP_PRAC_PAT_LIST","01JUL2019","B83624","I G MEDICAL","E01025201","ALL",1
"35","GP_PRAC_PAT_LIST","01JUL2019","B83624","I G MEDICAL","E01025202","ALL",2
"36","GP_PRAC_PAT_LIST","01JUL2019","B83624","I G MEDICAL","E01025321","ALL",1
"37","GP_PRAC_PAT_LIST","01JUL2019","B84006","TODMORDEN GROUP PRACTICE","E01024870","ALL",20
"38","GP_PRAC_PAT_LIST","01JUL2019","B84613","BEECHWOOD MEDICAL CENTRE","E01025222","ALL",2
"39","GP_PRAC_PAT_LIST","01JUL2019","B85055","HEALDS ROAD SURGERY","E01012573","ALL",1
"40","GP_PRAC_PAT_LIST","01JUL2019","B85062","UNIVERSITY HEALTH CENTRE","E01025198","ALL",1
"41","GP_PRAC_PAT_LIST","01JUL2019","C81660","HADFIELD MEDICAL CENTRE","E01012592","ALL",1
"42","GP_PRAC_PAT_LIST","01JUL2019","E85124","GP AT HAND","E01024908","ALL",1
"43","GP_PRAC_PAT_LIST","01JUL2019","E85124","GP AT HAND","E01025183","ALL",1
"44","GP_PRAC_PAT_LIST","01JUL2019","E85124","GP AT HAND","E01025346","ALL",1
"45","GP_PRAC_PAT_LIST","01JUL2019","E85124","GP AT HAND","E01025397","ALL",2
"46","GP_PRAC_PAT_LIST","01JUL2019","E87768","KINGS COLLEGE HEALTH CENTRE","E01024914","ALL",1
"47","GP_PRAC_PAT_LIST","01JUL2019","E87768","KINGS COLLEGE HEALTH CENTRE","E01032485","ALL",1
"48","GP_PRAC_PAT_LIST","01JUL2019","F84087","HARFORD HEALTH CENTRE","E01025327","ALL",1
"49","GP_PRAC_PAT_LIST","01JUL2019","F86702","ST CLEMENT'S SURGERY","E01025322","ALL",1
"50","GP_PRAC_PAT_LIST","01JUL2019","G83673","ELMSTEAD MEDICAL CLINIC","E01012613","ALL",1
"51","GP_PRAC_PAT_LIST","01JUL2019","G85025","BRIXTON HILL GROUP PRACTICE","E01025343","ALL",1
"52","GP_PRAC_PAT_LIST","01JUL2019","L83068","LYNTON HEALTH CENTRE","E01025355","ALL",1
"53","GP_PRAC_PAT_LIST","01JUL2019","M85124","BELLEVUE MEDICAL CENTRE","E01012573","ALL",1
"54","GP_PRAC_PAT_LIST","01JUL2019","M85783","STRENSHAM ROAD SURGERY","E01025211","ALL",1
"55","GP_PRAC_PAT_LIST","01JUL2019","N81642","WATERS EDGE MEDICAL CENTRE","E01012602","ALL",2
"56","GP_PRAC_PAT_LIST","01JUL2019","P81002","LANCASTER MEDICAL PRACTICE","E01025035","ALL",1
"57","GP_PRAC_PAT_LIST","01JUL2019","P81002","LANCASTER MEDICAL PRACTICE","E01025317","ALL",1
"58","GP_PRAC_PAT_LIST","01JUL2019","P81002","LANCASTER MEDICAL PRACTICE","E01025325","ALL",1
"59","GP_PRAC_PAT_LIST","01JUL2019","P81002","LANCASTER MEDICAL PRACTICE","E01025383","ALL",1
