"","ORG_CODE","SEX","AGE","POP","abs_pop"
"1","P81005","MALE","0",-61,61
"2","P81005","MALE","1",-77,77
"3","P81005","MALE","10",-85,85
"4","P81005","MALE","11",-91,91
"5","P81005","MALE","12",-88,88
"6","P81005","MALE","13",-58,58
"7","P81005","MALE","14",-70,70
"8","P81005","MALE","15",-82,82
"9","P81005","MALE","16",-92,92
"10","P81005","MALE","17",-71,71
"11","P81005","MALE","18",-82,82
"12","P81005","MALE","19",-72,72
"13","P81005","MALE","2",-69,69
"14","P81005","MALE","20",-57,57
"15","P81005","MALE","21",-77,77
"16","P81005","MALE","22",-71,71
"17","P81005","MALE","23",-70,70
"18","P81005","MALE","24",-59,59
"19","P81005","MALE","25",-84,84
"20","P81005","MALE","26",-77,77
"21","P81005","MALE","27",-75,75
"22","P81005","MALE","28",-85,85
"23","P81005","MALE","29",-78,78
"24","P81005","MALE","3",-71,71
"25","P81005","MALE","30",-61,61
"26","P81005","MALE","31",-80,80
"27","P81005","MALE","32",-80,80
"28","P81005","MALE","33",-72,72
"29","P81005","MALE","34",-78,78
"30","P81005","MALE","35",-82,82
"31","P81005","MALE","36",-82,82
"32","P81005","MALE","37",-78,78
"33","P81005","MALE","38",-64,64
"34","P81005","MALE","39",-81,81
"35","P81005","MALE","4",-89,89
"36","P81005","MALE","40",-75,75
"37","P81005","MALE","41",-67,67
"38","P81005","MALE","42",-76,76
"39","P81005","MALE","43",-73,73
"40","P81005","MALE","44",-61,61
"41","P81005","MALE","45",-79,79
"42","P81005","MALE","46",-68,68
"43","P81005","MALE","47",-88,88
"44","P81005","MALE","48",-79,79
"45","P81005","MALE","49",-62,62
"46","P81005","MALE","5",-65,65
"47","P81005","MALE","50",-77,77
"48","P81005","MALE","51",-107,107
"49","P81005","MALE","52",-93,93
"50","P81005","MALE","53",-92,92
"51","P81005","MALE","54",-81,81
"52","P81005","MALE","55",-89,89
"53","P81005","MALE","56",-71,71
"54","P81005","MALE","57",-77,77
"55","P81005","MALE","58",-81,81
"56","P81005","MALE","59",-81,81
"57","P81005","MALE","6",-62,62
"58","P81005","MALE","60",-77,77
"59","P81005","MALE","61",-73,73
"60","P81005","MALE","62",-62,62
"61","P81005","MALE","63",-65,65
"62","P81005","MALE","64",-71,71
"63","P81005","MALE","65",-54,54
"64","P81005","MALE","66",-52,52
"65","P81005","MALE","67",-51,51
"66","P81005","MALE","68",-48,48
"67","P81005","MALE","69",-66,66
"68","P81005","MALE","7",-73,73
"69","P81005","MALE","70",-45,45
"70","P81005","MALE","71",-52,52
"71","P81005","MALE","72",-60,60
"72","P81005","MALE","73",-58,58
"73","P81005","MALE","74",-49,49
"74","P81005","MALE","75",-42,42
"75","P81005","MALE","76",-63,63
"76","P81005","MALE","77",-46,46
"77","P81005","MALE","78",-37,37
"78","P81005","MALE","79",-32,32
"79","P81005","MALE","8",-83,83
"80","P81005","MALE","80",-46,46
"81","P81005","MALE","81",-28,28
"82","P81005","MALE","82",-38,38
"83","P81005","MALE","83",-29,29
"84","P81005","MALE","84",-19,19
"85","P81005","MALE","85",-20,20
"86","P81005","MALE","86",-16,16
"87","P81005","MALE","87",-16,16
"88","P81005","MALE","88",-17,17
"89","P81005","MALE","89",-12,12
"90","P81005","MALE","9",-77,77
"91","P81005","MALE","90",-4,4
"92","P81005","MALE","91",-6,6
"93","P81005","MALE","92",-6,6
"94","P81005","MALE","93",-6,6
"95","P81005","MALE","94",-3,3
"96","P81005","MALE","95+",-5,5
"97","P81022","MALE","0",-43,43
"98","P81022","MALE","1",-52,52
"99","P81022","MALE","10",-63,63
"100","P81022","MALE","11",-74,74
"101","P81022","MALE","12",-58,58
"102","P81022","MALE","13",-85,85
"103","P81022","MALE","14",-59,59
"104","P81022","MALE","15",-66,66
"105","P81022","MALE","16",-64,64
"106","P81022","MALE","17",-56,56
"107","P81022","MALE","18",-60,60
"108","P81022","MALE","19",-57,57
"109","P81022","MALE","2",-51,51
"110","P81022","MALE","20",-59,59
